,state,Actions Rewards
75,"([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (1.0, 9.0)], 4)",[-0.01936936 -0.02464098  0.        ]
76,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 19.0)], 1)",[-1.31704742 -0.98427901 -1.34010556]
77,"([(1.0, 4.0), (9.0, 18.0)], 4, [(1.0, 4.0), (0, 8.0)], 1)",[-17.5963944   -0.50242234 -23.07046369]
78,"([(19.0, 24), (19.0, 22.0)], 4, [(9.0, 18.0), (19.0, 22.0)], 2)",[-4.92627111 -3.35559115 -4.86023086]
79,"([(6.0, 14.0), (19.0, 22.0)], 4, [(0, 4.0), (19.0, 22.0)], 2)",[-0.27178696 -0.26377626 -0.27367459]
80,"([(5.0, 13.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 2)",[-7.79067145 -2.09191631 -9.50646005]
81,"([(19.0, 22.0), (7.0, 15.0)], 4, [(19.0, 22.0), (17.0, 24)], 1)",[-0.26195946 -0.26140707 -0.26105258]
82,"([(1.0, 4.0), (2.0, 10.0)], 4, [(1.0, 4.0), (0, 0.0)], 3)",[0. 0. 0.]
83,"([(19.0, 22.0), (4.0, 12.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 1)",[-332.58713126 -329.61014848 -326.9334421 ]
84,"([(1.0, 4.0), (9.0, 18.0)], 4, [(1.0, 4.0), (0, 8.0)], 3)",[-0.2434117  -0.24554919 -0.24812898]
85,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (9.0, 17.0)], 1)",[-0.8988054  -2.23366704 -2.30877298]
86,"([(1.0, 4.0), (8.0, 17.0)], 4, [(1.0, 4.0), (0, 7.0)], 1)",[-0.31785919 -9.94045542 -0.28525882]
87,"([(0, 6.0), (1.0, 4.0)], 4, [(8.0, 16.0), (1.0, 4.0)], 1)",[-0.74268225 -0.82608609 -1.41609722]
88,"([(10.0, 18.0), (1.0, 4.0)], 4, [(20.0, 24), (1.0, 4.0)], 1)",[-0.22188749 -0.22084151 -0.22099902]
89,"([(19.0, 22.0), (9.0, 17.0)], 4, [(19.0, 22.0), (19.0, 24)], 1)",[-0.2446191  -0.24472087 -0.24454701]
90,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 19.0)], 3)",[-0.8416597  -0.84165384 -0.84063791]
91,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (10.0, 19.0)], 3)",[-0.84304589 -0.84367138 -0.84284665]
92,"([(2.0, 11.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1)",[-3.64463271 -2.964371   -3.33720501]
93,"([(18.0, 24), (19.0, 22.0)], 4, [(8.0, 17.0), (19.0, 22.0)], 1)",[-1.04149822 -2.44824771 -2.89860576]
94,"([(6.0, 14.0), (19.0, 22.0)], 4, [(0, 4.0), (19.0, 22.0)], 1)",[-0.24856744 -0.2472597  -0.2471661 ]
95,"([(1.0, 4.0), (13.0, 22.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 1)",[-1.47365836 -1.4232356  -0.59234148]
96,"([(19.0, 22.0), (8.0, 17.0)], 4, [(19.0, 22.0), (18.0, 24)], 1)",[-0.21531021 -0.21620117 -0.21634325]
97,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (8.0, 16.0)], 1)",[-0.7923242  -1.94064937 -1.99017227]
98,"([(19.0, 24), (19.0, 22.0)], 4, [(9.0, 17.0), (19.0, 22.0)], 1)",[-1.47413759 -7.73170872 -2.16913597]
99,"([(3.0, 11.0), (1.0, 4.0)], 4, [(13.0, 21.0), (1.0, 4.0)], 1)",[-94.56659636 -81.30915696 -91.42792311]
100,"([(7.0, 16.0), (19.0, 22.0)], 4, [(0, 6.0), (19.0, 22.0)], 1)",[-0.23139967 -0.24001286 -0.24158763]
101,"([(23.0, 24), (19.0, 22.0)], 4, [(13.0, 21.0), (19.0, 22.0)], 2)",[-11.83171937 -20.2104445  -31.24911035]
102,"([(11.0, 20.0), (19.0, 22.0)], 4, [(1.0, 10.0), (19.0, 22.0)], 2)",[-56.23804209 -14.76703209 -47.66561798]
103,"([(19.0, 22.0), (1.0, 9.0)], 4, [(19.0, 22.0), (11.0, 19.0)], 1)",[-20.474533    -4.21707787 -19.04936188]
104,"([(19.0, 22.0), (12.0, 20.0)], 4, [(19.0, 22.0), (22.0, 24)], 1)",[0. 0. 0.]
105,"([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 0.0), (19.0, 22.0)], 2)",[0. 0. 0.]
106,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (8.0, 16.0)], 3)",[-0.78863519 -0.78958257 -0.78865082]
107,"([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 3.0)], 3)",[-0.08455446 -0.08065343 -0.08090903]
108,"([(19.0, 22.0), (2.0, 11.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 1)",[-18.20690542 -10.32777175 -18.61716743]
109,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 20.0)], 3)",[-0.88257866 -0.88290738 -0.88288497]
