,state,Actions Rewards
87,"(([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[-727.50761289 -790.82076859 -641.34092355]
88,"(([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[-3668.95020335 -3791.21154993 -3659.17504247]
89,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 3))",[-2032.59886355 -1660.21171105 -1683.20987772]
90,"(([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[-99.76003577 -73.48590622 -99.75      ]
91,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 3))",[-0.03736688 -1.04426357 -0.09357631]
92,"(([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 21.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[ -2.19347293 -50.         -50.        ]
93,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 21.0), (19.0, 22.0)], 3))",[-0.90612119  0.          0.        ]
94,"(([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 20.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[-1.29723274e-02 -7.46781755e+01  0.00000000e+00]
95,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 20.0), (19.0, 22.0)], 3))",[-30.10020216   0.           0.        ]
96,"(([(21.0, 24), (19.0, 22.0)], 1, [(11.0, 20.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2))",[ -94.9501398  -190.26240857  -62.0493995 ]
97,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(21.0, 24), (19.0, 22.0)], 1, [(11.0, 20.0), (19.0, 22.0)], 3))",[-50.90510731 -59.87604629 -68.86805178]
98,"(([(1.0, 10.0), (1.0, 4.0)], 0, [(11.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 2, [(19.0, 22.0), (1.0, 10.0)], 3))",[ 0.         -0.00729469  0.        ]
99,"(([(19.0, 22.0), (0, 0.0)], 2, [(19.0, 22.0), (1.0, 10.0)], 3), ([(1.0, 10.0), (1.0, 4.0)], 0, [(11.0, 20.0), (1.0, 4.0)], 1))",[ 0.         -0.01093598  0.        ]
100,"(([(2.0, 10.0), (1.0, 4.0)], 1, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 1.0)], 2, [(19.0, 22.0), (3.0, 11.0)], 3))",[ 0.          0.         -0.00885019]
101,"(([(19.0, 22.0), (0, 1.0)], 2, [(19.0, 22.0), (3.0, 11.0)], 3), ([(2.0, 10.0), (1.0, 4.0)], 1, [(12.0, 20.0), (1.0, 4.0)], 1))",[ 0.          0.         -0.01310996]
102,"(([(7.0, 15.0), (1.0, 4.0)], 1, [(17.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 2, [(19.0, 22.0), (2.0, 10.0)], 3))",[  0. -50.   0.]
103,"(([(19.0, 22.0), (0, 0.0)], 2, [(19.0, 22.0), (2.0, 10.0)], 3), ([(7.0, 15.0), (1.0, 4.0)], 1, [(17.0, 24), (1.0, 4.0)], 1))",[ 0.         -0.01090999  0.        ]
104,"(([(7.0, 15.0), (1.0, 4.0)], 0, [(17.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 2.0)], 2, [(19.0, 22.0), (3.0, 12.0)], 3))",[ -50.         -135.24771982    0.        ]
105,"(([(19.0, 22.0), (0, 2.0)], 2, [(19.0, 22.0), (3.0, 12.0)], 3), ([(7.0, 15.0), (1.0, 4.0)], 0, [(17.0, 24), (1.0, 4.0)], 1))",[-1.39853910e-02 -8.52652416e+01  0.00000000e+00]
106,"(([(7.0, 16.0), (1.0, 4.0)], 0, [(17.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 3, [(19.0, 22.0), (2.0, 10.0)], 3))",[  0. -50.   0.]
107,"(([(19.0, 22.0), (0, 0.0)], 3, [(19.0, 22.0), (2.0, 10.0)], 3), ([(7.0, 16.0), (1.0, 4.0)], 0, [(17.0, 24), (1.0, 4.0)], 1))",[ 0.         -0.01257639  0.        ]
108,"(([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2))",[  0.   -52.25   0.  ]
109,"(([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2), ([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1))",[-2.26270192  0.          0.        ]
110,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 1, [(13.0, 22.0), (19.0, 22.0)], 2))",[0. 0. 0.]
111,"(([(23.0, 24), (19.0, 22.0)], 1, [(13.0, 22.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[  0. -50.   0.]
112,"(([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-97.5        -99.39763864 -50.        ]
113,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 2))",[0. 0. 0.]
