,state,Actions Rewards
96,"(([(19.0, 22.0), (0, 7.0)], 2, [(19.0, 22.0), (0, 9.0)], 1), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1))",[-0.01401588 -0.0174776   0.        ]
97,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 7.0)], 2, [(19.0, 22.0), (0, 9.0)], 1))",[-0.01099368 -6.94808794  0.        ]
98,"(([(19.0, 22.0), (0, 7.0)], 1, [(19.0, 22.0), (1.0, 9.0)], 2), ([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1))",[-0.00714465  0.          0.        ]
99,"(([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 7.0)], 1, [(19.0, 22.0), (1.0, 9.0)], 2))",[-0.01238849  0.          0.        ]
100,"(([(19.0, 22.0), (0, 8.0)], 1, [(19.0, 22.0), (1.0, 10.0)], 2), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1))",[-158.3023926    0.           0.       ]
101,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 8.0)], 1, [(19.0, 22.0), (1.0, 10.0)], 2))",[-4.41280453  0.          0.        ]
102,"(([(8.0, 17.0), (1.0, 4.0)], 0, [(10.0, 19.0), (1.0, 4.0)], 1), ([(0, 3.0), (1.0, 4.0)], 4, [(2.0, 11.0), (1.0, 4.0)], 2))",[-24.53861654 -18.15682762 -21.57027539]
103,"(([(0, 3.0), (1.0, 4.0)], 4, [(2.0, 11.0), (1.0, 4.0)], 2), ([(8.0, 17.0), (1.0, 4.0)], 0, [(10.0, 19.0), (1.0, 4.0)], 1))",[-24.90278771 -32.3645216  -26.28124031]
104,"(([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1))",[-1018.78506094 -1074.37220065  -998.80672877]
105,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2))",[-741.63668051 -771.68507691 -729.9565034 ]
106,"(([(13.0, 22.0), (19.0, 22.0)], 1, [(11.0, 20.0), (19.0, 22.0)], 1), ([(19.0, 22.0), (5.0, 14.0)], 4, [(19.0, 22.0), (13.0, 22.0)], 1))",[-0.01769169  0.          0.        ]
107,"(([(19.0, 22.0), (5.0, 14.0)], 4, [(19.0, 22.0), (13.0, 22.0)], 1), ([(13.0, 22.0), (19.0, 22.0)], 1, [(11.0, 20.0), (19.0, 22.0)], 1))",[-0.01487535  0.          0.        ]
108,"(([(1.0, 4.0), (18.0, 24)], 2, [(1.0, 4.0), (16.0, 24)], 1), ([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1))",[-0.0114586  0.         0.       ]
109,"(([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (18.0, 24)], 2, [(1.0, 4.0), (16.0, 24)], 1))",[-0.01360644  0.          0.        ]
110,"(([(1.0, 4.0), (18.0, 24)], 2, [(1.0, 4.0), (16.0, 24)], 2), ([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 1))",[-0.01155157  0.          0.        ]
111,"(([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (18.0, 24)], 2, [(1.0, 4.0), (16.0, 24)], 2))",[-0.01027544  0.          0.        ]
112,"(([(1.0, 4.0), (17.0, 24)], 2, [(1.0, 4.0), (15.0, 23.0)], 2), ([(7.0, 16.0), (19.0, 22.0)], 3, [(2.0, 11.0), (19.0, 22.0)], 1))",[-2.84656132  0.          0.        ]
113,"(([(7.0, 16.0), (19.0, 22.0)], 3, [(2.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (17.0, 24)], 2, [(1.0, 4.0), (15.0, 23.0)], 2))",[-0.01418826  0.          0.        ]
114,"(([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2), ([(20.0, 24), (19.0, 22.0)], 2, [(18.0, 24), (19.0, 22.0)], 1))",[ -2.15345196 -19.64825585   0.        ]
115,"(([(20.0, 24), (19.0, 22.0)], 2, [(18.0, 24), (19.0, 22.0)], 1), ([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2))",[-0.01895339 -1.75350456  0.        ]
116,"(([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2), ([(23.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 1))",[-21.31662895  -6.5052987  -15.98442567]
