,state,Actions Rewards
148,"([(19.0, 24), (19.0, 22.0)], 2, [(19.0, 24), (19.0, 22.0)], 1)",[-0.06174045 -0.01859623 -0.05811784]
149,"([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 2)",[0. 0. 0.]
150,"([(17.0, 24), (19.0, 22.0)], 2, [(17.0, 24), (19.0, 22.0)], 1)",[-0.03392091 -0.01863613 -0.04600302]
151,"([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (22.0, 24)], 2)",[3.56610014 9.7658079  4.34382202]
152,"([(14.0, 24), (19.0, 22.0)], 2, [(14.0, 24), (19.0, 22.0)], 1)",[-0.01635052  0.          0.        ]
153,"([(12.0, 21.0), (19.0, 22.0)], 2, [(12.0, 21.0), (19.0, 22.0)], 1)",[-0.02176428 -0.0225244  -0.02079301]
154,"([(11.0, 20.0), (19.0, 22.0)], 1, [(11.0, 20.0), (19.0, 22.0)], 1)",[-0.24999789 -0.25011268 -0.0851482 ]
155,"([(1.0, 4.0), (7.0, 17.0)], 4, [(1.0, 4.0), (7.0, 17.0)], 2)",[-0.08434802 -0.09421958 -0.0046138 ]
156,"([(1.0, 4.0), (2.0, 11.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 2)",[0. 0. 0.]
157,"([(19.0, 22.0), (0, 8.0)], 2, [(19.0, 22.0), (0, 8.0)], 1)",[-0.0329641   0.         -0.06245779]
158,"([(19.0, 22.0), (0, 9.0)], 2, [(19.0, 22.0), (0, 9.0)], 1)",[-0.04100601 -0.06313096 -0.0187479 ]
159,"([(19.0, 22.0), (2.0, 11.0)], 2, [(19.0, 22.0), (2.0, 11.0)], 1)",[-0.02280861  0.         -0.0212377 ]
160,"([(19.0, 22.0), (3.0, 12.0)], 1, [(19.0, 22.0), (3.0, 12.0)], 1)",[-0.08185825 -0.24086065 -0.18322392]
161,"([(19.0, 22.0), (3.0, 12.0)], 0, [(19.0, 22.0), (3.0, 12.0)], 1)",[  -4.46441159 -104.57635721   -4.59509373]
162,"([(10.0, 20.0), (19.0, 22.0)], 0, [(10.0, 20.0), (19.0, 22.0)], 1)",[-0.67578466 -0.78610267 -0.65324512]
163,"([(9.0, 19.0), (19.0, 22.0)], 1, [(9.0, 19.0), (19.0, 22.0)], 1)",[-0.04636843  0.         -0.0196428 ]
164,"([(8.0, 17.0), (19.0, 22.0)], 1, [(8.0, 17.0), (19.0, 22.0)], 1)",[-0.04011119 -0.02451298  0.        ]
165,"([(24.0, 24), (19.0, 22.0)], 2, [(24.0, 24), (19.0, 22.0)], 2)",[1.87431146 0.40936098 0.40928829]
166,"([(23.0, 24), (19.0, 22.0)], 1, [(23.0, 24), (19.0, 22.0)], 2)",[-0.06041141 -0.12656287  0.75676192]
167,"([(6.0, 16.0), (19.0, 22.0)], 0, [(6.0, 16.0), (19.0, 22.0)], 1)",[-0.52355798 -0.68472283 -0.62583181]
168,"([(21.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 2)",[-0.02294627 -0.15683962 -0.02329682]
169,"([(21.0, 24), (19.0, 22.0)], 0, [(21.0, 24), (19.0, 22.0)], 2)",[-1.5409911  -1.58151661 -1.70965706]
170,"([(6.0, 15.0), (19.0, 22.0)], 0, [(6.0, 15.0), (19.0, 22.0)], 1)",[-0.10518123 -0.04733628 -0.07102753]
171,"([(20.0, 24), (19.0, 22.0)], 1, [(20.0, 24), (19.0, 22.0)], 2)",[-0.0885231  0.         0.       ]
172,"([(5.0, 14.0), (19.0, 22.0)], 0, [(5.0, 14.0), (19.0, 22.0)], 1)",[ 0.         -0.04678153 -0.04871899]
173,"([(19.0, 24), (19.0, 22.0)], 0, [(19.0, 24), (19.0, 22.0)], 2)",[-0.19918313 -0.11779632 -0.0990994 ]
174,"([(4.0, 14.0), (19.0, 22.0)], 0, [(4.0, 14.0), (19.0, 22.0)], 1)",[ 0.         -0.04541366  0.        ]
175,"([(4.0, 13.0), (19.0, 22.0)], 1, [(4.0, 13.0), (19.0, 22.0)], 1)",[-0.01797054  0.         -0.06076619]
176,"([(2.0, 12.0), (19.0, 22.0)], 1, [(2.0, 12.0), (19.0, 22.0)], 1)",[ 0.         -0.04824738 -0.01881843]
177,"([(2.0, 12.0), (19.0, 22.0)], 0, [(2.0, 12.0), (19.0, 22.0)], 1)",[-0.02282347  0.          0.        ]
178,"([(18.0, 24), (19.0, 22.0)], 0, [(18.0, 24), (19.0, 22.0)], 2)",[-0.111531   -0.09457097 -0.09863856]
179,"([(2.0, 11.0), (19.0, 22.0)], 1, [(2.0, 11.0), (19.0, 22.0)], 1)",[ 0.         -0.02480213  0.        ]
180,"([(17.0, 24), (19.0, 22.0)], 1, [(17.0, 24), (19.0, 22.0)], 2)",[-0.04533834 -0.05045088 -0.06543286]
181,"([(2.0, 11.0), (19.0, 22.0)], 0, [(2.0, 11.0), (19.0, 22.0)], 1)",[-0.0243726  -0.02351047  0.        ]
182,"([(1.0, 11.0), (19.0, 22.0)], 0, [(1.0, 11.0), (19.0, 22.0)], 1)",[ 0.         -0.023409   -0.02486459]
183,"([(16.0, 24), (19.0, 22.0)], 0, [(16.0, 24), (19.0, 22.0)], 2)",[-0.16590737 -0.07090843 -0.09771788]
184,"([(1.0, 10.0), (19.0, 22.0)], 0, [(1.0, 10.0), (19.0, 22.0)], 1)",[0. 0. 0.]
185,"([(15.0, 24), (19.0, 22.0)], 0, [(15.0, 24), (19.0, 22.0)], 2)",[-0.37828152 -0.3673124  -0.47628773]
186,"([(15.0, 24), (19.0, 22.0)], 1, [(15.0, 24), (19.0, 22.0)], 2)",[-0.06685352 -0.08816646 -0.02096516]
187,"([(14.0, 23.0), (19.0, 22.0)], 1, [(14.0, 23.0), (19.0, 22.0)], 2)",[-0.01947931 -0.07624347 -0.02053098]
188,"([(12.0, 22.0), (19.0, 22.0)], 1, [(12.0, 22.0), (19.0, 22.0)], 2)",[-0.05890407 -0.02490171 -0.037651  ]
189,"([(0, -1.0), (1.0, 4.0)], 0, [(0, -1.0), (1.0, 4.0)], 1)",[0.13730608 0.82799139 2.2507757 ]
190,"([(11.0, 20.0), (19.0, 22.0)], 2, [(11.0, 20.0), (19.0, 22.0)], 2)",[-0.03313849 -0.02325962  0.        ]
191,"([(9.0, 18.0), (19.0, 22.0)], 2, [(9.0, 18.0), (19.0, 22.0)], 2)",[ 0.         -0.0362511  -0.03784544]
